2022-05-11 19:28:22,878 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":279365,"rx_success":0,"rx_failure":12,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":351}
2022-05-11 19:28:31,443 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":287909,"stack":351}
2022-05-11 19:28:32,500 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":288957,"stack":351}
2022-05-11 19:28:32,502 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":288957,"stack":351}
2022-05-11 19:28:50,684 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":307069,"stack":351}
2022-05-11 19:28:51,731 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":308118,"stack":351}
2022-05-11 19:28:51,732 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":308118,"stack":351}
2022-05-11 19:28:51,736 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":308120,"rx_success":0,"rx_failure":14,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":351}
2022-05-11 19:29:14,489 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":330799,"stack":351}
2022-05-11 19:29:15,541 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":331848,"stack":351}
2022-05-11 19:29:15,543 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":331848,"stack":351}
2022-05-11 19:29:15,547 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":331850,"rx_success":0,"rx_failure":15,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":351}
2022-05-11 19:29:20,127 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":336410,"stack":351}
2022-05-11 19:29:21,175 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":337459,"stack":351}
2022-05-11 19:29:21,177 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":337459,"stack":351}
2022-05-11 19:29:23,798 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":340062,"stack":351}
2022-05-11 19:29:24,838 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":341111,"stack":351}
2022-05-11 19:29:24,840 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":341111,"stack":351}
2022-05-11 19:29:59,169 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":375318,"stack":351}
2022-05-11 19:30:00,228 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":376366,"stack":351}
2022-05-11 19:30:00,230 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":376366,"stack":351}
2022-05-11 19:30:00,234 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":376368,"rx_success":0,"rx_failure":18,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":351}
2022-05-11 19:30:02,684 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":378806,"stack":351}
2022-05-11 19:30:03,735 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":379855,"stack":351}
2022-05-11 19:30:03,737 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":379855,"stack":351}
2022-05-11 19:30:49,962 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":425912,"stack":351}
2022-05-11 19:30:50,763 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed RxDone","level":4,"tick":426723,"stack":351}
2022-05-11 19:30:50,765 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":426723,"stack":351}
2022-05-11 19:30:50,768 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":426725,"rx_success":0,"rx_failure":20,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":351}
2022-05-11 19:30:53,165 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":429101,"stack":351}
2022-05-11 19:30:54,211 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":430149,"stack":351}
2022-05-11 19:30:54,212 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":430149,"stack":351}
2022-05-11 19:30:56,360 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":432294,"stack":351}
2022-05-11 19:30:57,422 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":433343,"stack":351}
2022-05-11 19:30:57,424 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":433343,"stack":351}
2022-05-11 19:31:01,403 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":437316,"stack":351}
2022-05-11 19:31:02,464 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":438364,"stack":351}
2022-05-11 19:31:02,466 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":438364,"stack":351}
2022-05-11 19:31:17,789 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:31:21,028 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":456866,"stack":351}
2022-05-11 19:31:22,075 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":457914,"stack":351}
2022-05-11 19:31:22,077 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":457914,"stack":351}
