2022-04-17 10:20:55,175 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":758550,"stack":258}
2022-04-17 10:20:56,583 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":759959,"stack":258}
2022-04-17 10:20:57,160 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":760542,"stack":258}
2022-04-17 10:20:57,943 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":761329,"stack":258}
2022-04-17 10:20:57,961 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":761339,"rssi":-91,"snr":4.75,"len":14,"data":"+QugB8kH9k0cUQ0cEwQ=","stack":258}
2022-04-17 10:20:57,961 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 674.0, 'lon': -117.80845, 'lat': 35.34704, 'gps_lock': True, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 766}
2022-04-17 10:20:57,966 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":761339,"stack":258}
2022-04-17 10:20:59,370 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":762748,"stack":258}
2022-04-17 10:20:59,961 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":763330,"stack":258}
2022-04-17 10:21:00,732 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":764117,"stack":258}
2022-04-17 10:21:00,741 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":764126,"rssi":-91,"snr":5,"len":14,"data":"BQywB8mH9VUcUQ2cEwQ=","stack":258}
2022-04-17 10:21:00,753 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 675.0, 'lon': -117.80845, 'lat': 35.34708, 'gps_lock': True, 'filter_vel': -20.0, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.41, 'time': 769}
2022-04-17 10:21:00,764 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":764127,"stack":258}
2022-04-17 10:21:02,156 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":765536,"stack":258}
2022-04-17 10:21:02,747 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":766115,"stack":258}
2022-04-17 10:21:03,523 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":766902,"stack":258}
2022-04-17 10:21:03,529 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":766912,"rssi":-91,"snr":4.5,"len":14,"data":"EQygB8kH9lUcUQ2cFAQ=","stack":258}
2022-04-17 10:21:03,530 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 678.0, 'lon': -117.80845, 'lat': 35.34708, 'gps_lock': True, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 772}
2022-04-17 10:21:03,537 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":766912,"stack":258}
2022-04-17 10:21:04,952 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":768321,"stack":258}
2022-04-17 10:21:05,525 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":768903,"stack":258}
2022-04-17 10:21:06,310 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":769690,"stack":258}
2022-04-17 10:21:06,318 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":769700,"rssi":-92,"snr":5,"len":14,"data":"HQygB8kH9lUcMQ2cFQQ=","stack":258}
2022-04-17 10:21:06,318 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 680.0, 'lon': -117.80849, 'lat': 35.34708, 'gps_lock': True, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 775}
2022-04-17 10:21:06,318 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":769700,"stack":258}
2022-04-17 10:21:07,729 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":771109,"stack":258}
2022-04-17 10:21:08,304 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":771691,"stack":258}
2022-04-17 10:21:09,091 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":772478,"stack":258}
2022-04-17 10:21:09,114 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":772488,"rssi":-91,"snr":5,"len":14,"data":"JQygB8kH9lUcUQ0cFgQ=","stack":258}
2022-04-17 10:21:09,114 | root | INFO | Decoded Telem: {'pyroB': False, 'pyroA': False, 'gps_alt': 681.0, 'lon': -117.80845, 'lat': 35.34708, 'gps_lock': True, 'filter_vel': -19.1, 'filter_alt': 555.0, 'armed': False, 'state': 0, 'battery': 3.39, 'time': 777}
2022-04-17 10:21:09,119 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":772488,"stack":258}
2022-04-17 10:21:09,126 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":772491,"rx_success":246,"rx_failure":37,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":258}
